worker,,score1,score2,score3,score4,score5,,size1,size2,size3,size4,size5
132,,3,9,6,3,4,,32,162,108,48,72
133,,9,4,6,2,4,,162,72,108,32,48
134,,3,4,8,7,6,,32,48,162,108,72
135,,10,1,3,6,9,,162,32,48,72,108
136,,9,6,3,5,2,,162,108,48,72,32
137,,6,10,8,3,2,,72,162,108,48,32
138,,3,5,8,6,2,,48,72,162,108,32
139,,7,3,1,4,6,,162,72,32,48,108
140,,5,4,7,2,9,,72,48,108,32,162
141,,2,5,8,6,3,,32,72,162,108,48
142,,3,2,8,4,6,,48,32,162,72,108
143,,4,8,1,8,2,,72,162,32,108,48
144,,5,1,3,10,8,,72,32,48,162,108
145,,5,4,10,2,9,,72,48,162,32,108
146,,5,10,8,1,6,,48,162,108,32,72
147,,7,3,4,8,2,,108,48,72,162,32
148,,7,5,3,2,1,,162,108,72,48,32
149,,7,9,2,3,4,,108,162,32,48,72
150,,5,10,3,6,8,,48,162,32,72,108
151,,5,3,2,8,1,,108,72,48,162,32
152,,5,3,8,10,9,,48,32,72,162,108
153,,3,2,7,9,6,,48,32,108,162,72
154,,2,3,4,2,6,,48,72,108,32,162
155,,3,9,5,4,8,,32,162,72,48,108
156,,10,3,2,1,9,,162,72,48,32,108
157,,9,3,4,2,1,,162,48,108,72,32
158,,3,9,4,5,6,,32,162,48,72,108
159,,6,4,2,10,7,,72,48,32,162,108
160,,3,9,6,10,2,,48,108,72,162,32
161,,2,4,3,7,5,,32,72,48,162,108
162,,3,4,7,9,10,,32,48,72,108,162
163,,4,6,2,7,2,,72,108,48,162,32
164,,9,2,6,4,3,,162,32,108,72,48
165,,9,6,3,2,5,,162,108,48,32,72
166,,7,3,1,2,1,,162,108,32,72,48
167,,9,3,4,5,10,,108,32,48,72,162
168,,9,2,1,4,7,,162,48,32,72,108
169,,4,5,7,2,4,,48,72,162,32,108
170,,5,9,5,7,6,,32,162,48,108,72
171,,6,2,4,1,1,,162,72,108,48,32
172,,7,8,3,2,3,,108,162,72,32,48
173,,1,3,10,3,7,,32,48,162,72,108
174,,7,3,2,4,2,,162,72,32,108,48
175,,2,4,1,9,6,,48,72,32,162,108
176,,5,8,3,2,1,,108,162,72,48,32
177,,5,2,1,4,7,,108,48,32,72,162
178,,9,3,2,5,1,,162,72,48,108,32
179,,2,7,5,6,8,,32,108,48,72,162
180,,3,4,2,1,5,,72,108,48,32,162
181,,7,2,9,2,5,,108,48,162,32,72
182,,4,8,4,1,10,,48,108,72,32,162
183,,4,7,8,4,2,,48,108,162,72,32
184,,2,6,5,8,3,,32,108,72,162,48
185,,6,3,8,2,1,,108,72,162,48,32
186,,8,3,2,9,4,,108,48,32,162,72
187,,7,5,3,2,3,,162,108,72,32,48
188,,4,9,7,3,2,,48,162,108,72,32
189,,3,8,9,10,2,,32,72,108,162,48
190,,4,9,2,10,5,,48,108,32,162,72
191,,1,5,3,2,9,,32,108,72,48,162
192,,5,10,6,2,3,,72,162,108,32,48
193,,5,1,2,1,3,,162,48,72,32,108
194,,4,3,2,7,3,,108,72,32,162,48
195,,4,2,6,3,8,,72,32,108,48,162
196,,3,5,7,2,3,,48,108,162,32,72
197,,9,5,1,2,3,,162,108,32,48,72
198,,1,1,1,4,6,,72,48,32,108,162
199,,4,7,2,9,10,,48,72,32,108,162
200,,7,3,8,6,3,,108,48,162,72,32
201,,8,3,2,5,4,,162,48,32,108,72
202,,3,5,7,8,1,,48,72,108,162,32
203,,4,3,9,6,5,,48,32,162,108,72
204,,2,6,8,3,3,,32,108,162,72,48
205,,6,8,3,4,10,,72,108,32,48,162
206,,4,9,3,6,5,,48,162,32,108,72
207,,6,7,2,1,3,,108,162,48,32,72
208,,3,5,8,10,8,,32,48,108,162,72
209,,6,3,1,2,7,,108,72,32,48,162
210,,2,7,4,3,2,,32,162,108,72,48
211,,10,3,7,4,5,,162,32,108,48,72
212,,4,8,9,2,1,,72,108,162,48,32
213,,7,4,5,3,10,,108,48,72,32,162
214,,2,4,7,10,8,,32,48,72,162,108
215,,9,6,10,4,5,,108,72,162,32,48
216,,3,1,9,6,1,,72,48,162,108,32
217,,6,3,9,4,5,,108,32,162,48,72
